time,open,high,low,close,Volume,Volume MA
2020-09-08T04:00:00Z,10371.27,10371.27,10371.27,10371.27,0.00521066,0.06338647849998805
2020-09-08T05:00:00Z,10379.88,10379.88,10379.88,10379.88,0.00385815,0.06071577999998804
2020-09-08T08:00:00Z,10799.96,10799.96,10799.96,10799.96,0.001,0.05983999249998804
2020-09-08T09:00:00Z,10799.91,10799.91,10000.03,10000.03,0.00630601,0.05952793499998804
2020-09-08T11:00:00Z,10000.1,10000.1,10000,10000,0.06037492,0.06252163099998805
2020-09-08T19:00:00Z,10380,10399.99,10380,10399.99,0.04154794,0.06381160099998805
2020-09-08T20:00:00Z,9973.8,9973.8,9973.8,9973.8,0.08643541,0.06808937149998805
2020-09-08T23:00:00Z,10074.07,10399.99,10074.06,10399.99,0.13496373,0.07267386499998804
2020-09-09T05:00:00Z,10399.99,10399.99,10399.99,10399.99,0.00192404,0.06303178599998804
2020-09-09T13:00:00Z,10300,10300,10300,10300,0.00198957,0.06285321649998805
2020-09-09T18:00:00Z,10300,10300,10300,10300,0.09542173,0.03685641199998805
2020-09-09T20:00:00Z,10230.02,10230.02,10230.02,10230.02,0.0722871,0.03664876699998805
2020-09-10T00:00:00Z,10300,10300,10300,10300,0.06961931,0.03756862999998805
2020-09-10T04:00:00Z,10399.5,10399.5,10399.5,10399.5,0.0185068,0.03750874949998805
2020-09-10T05:00:00Z,10399.5,10400,10399.5,10400,0.0519832,0.03790651599998805
2020-09-10T09:00:00Z,10400,10400,10400,10400,0.00269712,0.03714811649998805
2020-09-10T10:00:00Z,10400,10400,10400,10400,0.00858826,0.037506078999988056
2020-09-10T13:00:00Z,10382.84,10382.84,10382.84,10382.84,0.00090762,0.036568527499988054
2020-09-10T15:00:00Z,10500,10699.99,10500,10699.99,0.03,0.03475607849998806
2020-09-10T16:00:00Z,10699.99,10699.99,10699.99,10699.99,0.001,0.03473107849998806
2020-09-11T00:00:00Z,10200.11,10200.11,10200.11,10200.11,0.001,0.03452054549998806
2020-09-11T01:00:00Z,10427.59,10427.59,10427.59,10427.59,0.00175,0.03441513799998806
2020-09-11T12:00:00Z,10348.11,10900.53,10348.11,10362.93,0.36365802,0.052548038999988056
2020-09-11T17:00:00Z,10500,10500,10500,10500,0.00048857,0.052257166999988044
2020-09-11T22:00:00Z,10390,10390,10390,10390,0.03359865,0.050918353499988044
2020-09-12T11:00:00Z,10431.66,10431.66,10431.66,10431.66,0.00363604,0.049022758499988044
2020-09-13T02:00:00Z,10400,10400,10230.51,10230.51,0.14220081,0.051811028499988046
2020-09-13T03:00:00Z,10900.47,10900.47,10900.47,10900.47,0.13290619,0.051708151499988045
2020-09-13T19:00:00Z,10894.96,10894.96,10894.96,10894.96,0.0156,0.052391949499988044
2020-09-14T09:00:00Z,10500,10500,10500,10500,0.05705618,0.05514527999998804
2020-09-14T15:00:00Z,10800,10894.95,10800,10894.95,0.03675511,0.052211948999988045
2020-09-14T22:00:00Z,10694.95,10694.95,10694.95,10694.95,0.00158706,0.04867694699998804
2020-09-15T12:00:00Z,10894.96,10900.53,10894.96,10900.53,0.17627664,0.05400981349998805
2020-09-15T15:00:00Z,10400.11,10400.11,10400.11,10400.11,0.03228619,0.05469878299998805
2020-09-16T09:00:00Z,10815.71,10815.71,10815.71,10815.71,0.00368,0.052283622999988046
2020-09-16T15:00:00Z,10600.01,10600.01,10600.01,10600.01,0.11614555,0.057956044499988035
2020-09-16T17:00:00Z,10968.59,10968.59,10968.59,10968.59,0.00191161,0.057622211999988036
2020-09-16T23:00:00Z,11000,11000,11000,11000,0.046106,0.059882130999988036
2020-09-17T00:00:00Z,10968.59,10968.59,10968.59,10968.59,0.00190179,0.058477220499988034
2020-09-17T12:00:00Z,10800,10800,10422.79,10422.79,0.01470179,0.05916230999998804
2020-09-17T14:00:00Z,10761.09,10761.09,10761.09,10761.09,0.02743978,0.06048429899998804
2020-09-17T15:00:00Z,10422.79,10422.79,10422.79,10422.79,0.0073796,0.06076577899998804
2020-09-17T17:00:00Z,10800,10800,10800,10800,0.00047,0.04260637799998804
2020-09-17T19:00:00Z,11012.86,11200.08,11012.86,11200.08,0.00294527,0.04272921299998804
2020-09-17T23:00:00Z,10422.88,10422.88,10422.88,10422.88,0.00259611,0.04117908599998804
2020-09-18T01:00:00Z,11200.08,11200.99,11200.08,11200.99,0.19652124,0.05082334599998804
2020-09-18T09:00:00Z,11050.05,11050.05,11050.05,11050.05,0.46455627,0.06694111899998804
2020-09-18T14:00:00Z,10950,11349.99,10945,10945,0.03175756,0.06188368749998805
2020-09-18T15:00:00Z,10945,10945,10945,10945,0.02243171,0.06222527299998805
2020-09-18T17:00:00Z,10940.92,10940.92,10832.44,10921.21,0.19153099,0.06894901349998804
2020-09-18T22:00:00Z,10986.31,10986.31,10986.31,10986.31,0.01423043,0.06782277949998804
2020-09-19T00:00:00Z,10919.72,10919.72,10919.72,10919.72,0.04146524,0.06981668849998804
2020-09-19T06:00:00Z,10600,10600,10422.88,10422.88,0.04232162,0.06311893749998804
2020-09-19T11:00:00Z,10900,11000,10900,11000,0.01047,0.06202812799998804
2020-09-19T12:00:00Z,11186.21,11186.21,11186.21,11186.21,0.00959484,0.06232386999998805
2020-09-19T13:00:00Z,11202.22,11202.22,11202.22,11202.22,0.00718607,0.056875895999988046
2020-09-19T14:00:00Z,11047.97,11047.97,11047.97,11047.97,0.00222803,0.05689171699998804
2020-09-19T15:00:00Z,11136.59,11136.59,11009.2,11070.83,0.37727132,0.07344998299998803
2020-09-19T16:00:00Z,11208.21,11208.21,11208.21,11208.21,0.04151596,0.07543069149998803
2020-09-19T18:00:00Z,10979.41,10979.41,10979.41,10979.41,0.0009957,0.07474538699998803
2020-09-19T20:00:00Z,11250,11399.99,11154.99,11399.99,0.13224015,0.07998540549998805
2020-09-19T21:00:00Z,11164.25,11399.99,10975.44,10975.44,0.09148371,0.08419061099998806
2020-09-20T12:00:00Z,10927.78,10927.78,10927.78,10927.78,0.00105694,0.08421995799998806
2020-09-20T19:00:00Z,10889.47,10889.47,10889.47,10889.47,0.01588957,0.08486717299998806
2020-09-20T21:00:00Z,10821.58,10821.58,10821.58,10821.58,0.04220639,0.08684768699998806
2020-09-21T12:00:00Z,10703.7,10703.71,10600.01,10644,0.05454125,0.07974868749998806
2020-09-21T14:00:00Z,10600.01,10600.01,10578.78,10578.78,0.04289208,0.05866547799998807
2020-09-21T15:00:00Z,10512.9,10513,10400,10429.37,0.51657149,0.08290617449998808
2020-09-21T16:00:00Z,10429.36,10429.36,10299.2,10417.19,0.19823142,0.09169615999998806
2020-09-21T17:00:00Z,10417.94,10444.08,10417.93,10444.07,0.25602376,0.09492079849998807
2020-09-21T18:00:00Z,10428.29,10428.75,10402.39,10402.39,0.29397335,0.10890794449998806
2020-09-21T19:00:00Z,10454.49,10499.68,10454.48,10499.68,0.06920774,0.11029506949998806
2020-09-21T20:00:00Z,10535.88,10552.84,10500.99,10501,0.04036318,0.11019714749998806
2020-09-21T21:00:00Z,10471.5,10488.83,10471.5,10488.77,0.09560578,0.11445393649998806
2020-09-21T22:00:00Z,10521.28,10533.29,10521.27,10533.29,0.02880726,0.11541455749998804
2020-09-21T23:00:00Z,10511.68,10511.89,10477.81,10478.34,0.0768769,0.11889909899998803
2020-09-22T00:00:00Z,10438.86,10492.29,10438.85,10492.28,0.04494131,0.12103476299998803
2020-09-22T01:00:00Z,10481.4,10481.4,10445.11,10451.95,0.05414313,0.10487835349998802
2020-09-22T02:00:00Z,10474.62,10474.63,10474.61,10474.63,0.01044002,0.10332455649998802
2020-09-22T03:00:00Z,10481.35,10483.61,10481.34,10483.61,0.02902005,0.10472577399998803
2020-09-22T04:00:00Z,10483.62,10483.62,10483.62,10483.62,0.00400688,0.09831411049998803
2020-09-22T06:00:00Z,10483.63,10500.85,10458.5,10469.24,0.39006876,0.11324336299998805
2020-09-22T07:00:00Z,10438.31,10438.32,10438.31,10438.32,0.0053804,0.11345953599998806
2020-09-22T08:00:00Z,10423.21,10423.21,10423.2,10423.2,0.08874385,0.11710224999998806
2020-09-22T09:00:00Z,10462.64,10559.62,10462.63,10478.99,0.02288844,0.11613635249998806
