time,south_ILI,north_ILI
2014 week27,3.5,2.7
2014 week28,3.5,2.6
2014 week29,3.5,2.5
2014 week30,3.4,2.6
2014 week31,3.3,2.4
2014 week32,3.2,2.4
2014 week33,2.9,2.3
2014 week34,2.8,2.3
2014 week35,2.7,2.4
2014 week36,2.8,2.5
2014 week37,2.9,2.6
2014 week38,2.6,2.5
2014 week39,2.7,2.4
2014 week40,3,2.8
2014 week41,2.6,2.6
2014 week42,2.4,2.6
2014 week43,2.4,2.6
2014 week44,2.4,2.8
2014 week45,2.3,2.7
2014 week46,2.3,2.8
2014 week47,2.4,3
2014 week48,2.4,3.1
2014 week49,2.3,3.6
2014 week50,2.3,3.9
2014 week51,2.5,4.1
2014 week52,2.7,4.2
2015 week01,2.9,4.2
2015 week02,2.8,3.5
2015 week03,3,3.6
2015 week04,3.2,3.1
2015 week05,3,3.1
2015 week06,2.8,2.9
2015 week07,2.7,2.8
2015 week08,3.6,3.8
2015 week09,2.7,2.9
2015 week10,2.4,2.6
2015 week11,2.4,2.6
2015 week12,2.7,2.7
2015 week13,2.8,2.6
2015 week14,2.8,2.7
2015 week15,2.8,2.5
2015 week16,2.9,2.3
2015 week17,2.9,2.4
2015 week18,3,2.4
2015 week19,2.9,2.3
2015 week20,3.1,2.4
2015 week21,3.3,2.3
2015 week22,3.5,2.3
2015 week23,4,2.5
2015 week24,4.1,2.6
2015 week25,4.1,2.6
2015 week26,4.1,2.6
2015 week27,3.9,2.5
2015 week28,3.6,2.6
2015 week29,3.6,2.6
2015 week30,3.6,2.5
2015 week31,3.8,2.4
2015 week32,3.3,2.5
2015 week33,3.1,2.5
2015 week34,2.9,2.5
2015 week35,2.9,2.4
2015 week36,2.8,2.4
2015 week37,2.6,2.3
2015 week38,2.7,2.3
2015 week39,2.7,2.3
2015 week40,2.8,2.5
2015 week41,2.4,2.5
2015 week42,2.5,2.4
2015 week43,2.5,2.5
2015 week44,2.5,2.5
2015 week45,2.4,2.5
2015 week46,2.4,2.5
2015 week47,2.6,2.5
2015 week48,2.5,2.6
2015 week49,2.6,2.5
2015 week50,2.6,2.6
2015 week51,2.8,2.6
2015 week52,3,2.8
2015 week53,3.2,3.6
2016 week01,3.2,3
2016 week02,3.2,3.3
2016 week03,3.4,3.6
2016 week04,3,4
2016 week05,3,4.2
2016 week06,4.6,5.6
2016 week07,3,3.6
2016 week08,3,3.5
2016 week09,3.4,3.6
2016 week10,3.6,3.8
2016 week11,3.9,4
2016 week12,4.1,4
2016 week13,4,3.7
2016 week14,4,3.2
2016 week15,3.7,2.8
2016 week16,3.5,2.6
2016 week17,3.5,2.6
2016 week18,3.7,2.6
2016 week19,3.6,2.4
2016 week20,3.5,2.4
2016 week21,3.3,2.4
2016 week22,3.4,2.5
2016 week23,3.5,2.6
2016 week24,3.3,2.5
2016 week25,3.4,2.5
2016 week26,3.3,2.5
2016 week27,3.3,2.6
2016 week28,3.1,2.5
2016 week29,3,2.5
2016 week30,2.9,2.5
2016 week31,2.8,2.5
2016 week32,2.8,2.3
2016 week33,2.8,2.4
2016 week34,2.7,2.3
2016 week35,2.6,2.4
2016 week36,2.6,2.4
2016 week37,2.9,2.7
2016 week38,2.8,2.4
2016 week39,2.6,2.5
2016 week40,2.8,2.9
2016 week41,2.5,2.5
2016 week42,2.7,2.6
2016 week43,2.8,2.7
2016 week44,2.8,2.9
2016 week45,3,3.1
2016 week46,3.1,3.2
2016 week47,3.1,3.4
2016 week48,3.2,3.6
2016 week49,3.3,3.6
2016 week50,3.2,3.7
2016 week51,3.3,3.9
2016 week52,3.3,3.9
2017 week01,3.3,4.2
2017 week02,3.1,4
2017 week03,2.9,3.8
2017 week04,3.3,4.1
2017 week05,3.5,4
2017 week06,2.6,3.3
2017 week07,2.7,3
2017 week08,2.8,2.9
2017 week09,3,3
2017 week10,3,3.2
2017 week11,3,3.4
2017 week12,3,3.4
2017 week13,3.1,3.3
2017 week14,3.4,3.1
2017 week15,3.2,3.1
2017 week16,3.2,3.1
2017 week17,3.1,3.2
2017 week18,3.2,3.3
2017 week19,3.3,3
2017 week20,3.3,3.5
2017 week21,3.4,3
2017 week22,3.6,2.8
2017 week23,3.4,2.5
2017 week24,3.5,2.5
2017 week25,3.8,2.6
2017 week26,3.7,2.5
2017 week27,4.2,2.5
2017 week28,4.3,2.6
2017 week29,4.1,2.5
2017 week30,4,2.4
2017 week31,3.6,2.5
2017 week32,3.6,2.4
2017 week33,3.6,2.5
2017 week34,3.4,2.4
2017 week35,3.4,2.4
2017 week36,3.1,2.5
2017 week37,3.3,2.4
2017 week38,3.1,2.5
2017 week39,3,2.5
2017 week40,3.7,3.2
2017 week41,2.8,2.4
2017 week42,2.8,2.6
2017 week43,2.9,2.6
2017 week44,3,2.7
2017 week45,2.9,2.8
2017 week46,2.8,3.2
2017 week47,3.1,3.5
2017 week48,3.3,3.7
2017 week49,3.5,4
2017 week50,3.6,4.9
2017 week51,4.3,5.2
2017 week52,5,5.3
2018 week01,6,5.8
2018 week02,6,5.5
2018 week03,6.7,5.2
2018 week04,5.9,4.9
2018 week05,5.1,4.2
2018 week06,4.7,3.7
